year,month,month_number,date,unemployment
2009,Jul,739,7/1/2009,9.5
2009,Aug,740,8/1/2009,9.6
2009,Sep,741,9/1/2009,9.8
2009,Oct,742,10/1/2009,10
2009,Nov,743,11/1/2009,9.9
2009,Dec,744,12/1/2009,9.9
2010,Jan,745,1/1/2010,9.8
2010,Feb,746,2/1/2010,9.8
2010,Mar,747,3/1/2010,9.9
2010,Apr,748,4/1/2010,9.9
2010,May,749,5/1/2010,9.6
2010,Jun,750,6/1/2010,9.4
2010,Jul,751,7/1/2010,9.4
2010,Aug,752,8/1/2010,9.5
2010,Sep,753,9/1/2010,9.5
2010,Oct,754,10/1/2010,9.4
2010,Nov,755,11/1/2010,9.8
2010,Dec,756,12/1/2010,9.3
2011,Jan,757,1/1/2011,9.1
2011,Feb,758,2/1/2011,9
2011,Mar,759,3/1/2011,9
2011,Apr,760,4/1/2011,9.1
2011,May,761,5/1/2011,9
2011,Jun,762,6/1/2011,9.1
2011,Jul,763,7/1/2011,9
2011,Aug,764,8/1/2011,9
2011,Sep,765,9/1/2011,9
2011,Oct,766,10/1/2011,8.8
2011,Nov,767,11/1/2011,8.6
2011,Dec,768,12/1/2011,8.5
2012,Jan,769,1/1/2012,8.3
2012,Feb,770,2/1/2012,8.3
2012,Mar,771,3/1/2012,8.2
2012,Apr,772,4/1/2012,8.2
2012,May,773,5/1/2012,8.2
2012,Jun,774,6/1/2012,8.2
2012,Jul,775,7/1/2012,8.2
2012,Aug,776,8/1/2012,8.1
2012,Sep,777,9/1/2012,7.8
2012,Oct,778,10/1/2012,7.8
2012,Nov,779,11/1/2012,7.7
2012,Dec,780,12/1/2012,7.9
2013,Jan,781,1/1/2013,8
2013,Feb,782,2/1/2013,7.7
2013,Mar,783,3/1/2013,7.5
2013,Apr,784,4/1/2013,7.6
2013,May,785,5/1/2013,7.5
2013,Jun,786,6/1/2013,7.5
2013,Jul,787,7/1/2013,7.3
2013,Aug,788,8/1/2013,7.2
2013,Sep,789,9/1/2013,7.2
2013,Oct,790,10/1/2013,7.2
2013,Nov,791,11/1/2013,6.9
2013,Dec,792,12/1/2013,6.7
2014,Jan,793,1/1/2014,6.6
2014,Feb,794,2/1/2014,6.7
2014,Mar,795,3/1/2014,6.7
2014,Apr,796,4/1/2014,6.2
2014,May,797,5/1/2014,6.3
2014,Jun,798,6/1/2014,6.1
2014,Jul,799,7/1/2014,6.2
2014,Aug,800,8/1/2014,6.1
2014,Sep,801,9/1/2014,5.9
2014,Oct,802,10/1/2014,5.7
2014,Nov,803,11/1/2014,5.8
2014,Dec,804,12/1/2014,5.6
2015,Jan,805,1/1/2015,5.7
2015,Feb,806,2/1/2015,5.5
2015,Mar,807,3/1/2015,5.4
2015,Apr,808,4/1/2015,5.4
2015,May,809,5/1/2015,5.6
2015,Jun,810,6/1/2015,5.3
2015,Jul,811,7/1/2015,5.2
2015,Aug,812,8/1/2015,5.1
2015,Sep,813,9/1/2015,5
2015,Oct,814,10/1/2015,5
2015,Nov,815,11/1/2015,5.1
2015,Dec,816,12/1/2015,5
2016,Jan,817,1/1/2016,4.8
2016,Feb,818,2/1/2016,4.9
2016,Mar,819,3/1/2016,5
2016,Apr,820,4/1/2016,5.1
2016,May,821,5/1/2016,4.8
2016,Jun,822,6/1/2016,4.9
2016,Jul,823,7/1/2016,4.8
2016,Aug,824,8/1/2016,4.9
2016,Sep,825,9/1/2016,5
2016,Oct,826,10/1/2016,4.9
2016,Nov,827,11/1/2016,4.7
2016,Dec,828,12/1/2016,4.7
2017,Jan,829,1/1/2017,4.7
2017,Feb,830,2/1/2017,4.6
2017,Mar,831,3/1/2017,4.4
2017,Apr,832,4/1/2017,4.4
2017,May,833,5/1/2017,4.4
2017,Jun,834,6/1/2017,4.3
2017,Jul,835,7/1/2017,4.3
2017,Aug,836,8/1/2017,4.4
2017,Sep,837,9/1/2017,4.3
2017,Oct,838,10/1/2017,4.2
2017,Nov,839,11/1/2017,4.2
2017,Dec,840,12/1/2017,4.1
2018,Jan,841,1/1/2018,4
2018,Feb,842,2/1/2018,4.1
2018,Mar,843,3/1/2018,4
2018,Apr,844,4/1/2018,4
2018,May,845,5/1/2018,3.8
2018,Jun,846,6/1/2018,4
2018,Jul,847,7/1/2018,3.8
2018,Aug,848,8/1/2018,3.8
2018,Sep,849,9/1/2018,3.7
2018,Oct,850,10/1/2018,3.8
2018,Nov,851,11/1/2018,3.8
2018,Dec,852,12/1/2018,3.9
2019,Jan,853,1/1/2019,4
2019,Feb,854,2/1/2019,3.8
2019,Mar,855,3/1/2019,3.8
2019,Apr,856,4/1/2019,3.6
2019,May,857,5/1/2019,3.7
2019,Jun,858,6/1/2019,3.6
2019,Jul,859,7/1/2019,3.7
2019,Aug,860,8/1/2019,3.7
2019,Sep,861,9/1/2019,3.5
2019,Oct,862,10/1/2019,3.6
2019,Nov,863,11/1/2019,3.6
2019,Dec,864,12/1/2019,3.6
2020,Jan,865,1/1/2020,3.5
2020,Feb,866,2/1/2020,3.5
2020,Mar,867,3/1/2020,4.4
2020,Apr,868,4/1/2020,14.7
2020,May,869,5/1/2020,13.2
2020,Jun,870,6/1/2020,11
2020,Jul,871,7/1/2020,10.2
2020,Aug,872,8/1/2020,8.4
2020,Sep,873,9/1/2020,7.9
2020,Oct,874,10/1/2020,6.9
2020,Nov,875,11/1/2020,6.7
2020,Dec,876,12/1/2020,6.7
2021,Jan,877,1/1/2021,6.3
2021,Feb,878,2/1/2021,6.2
2021,Mar,879,3/1/2021,6.1
2021,Apr,880,4/1/2021,6.1
2021,May,881,5/1/2021,5.8
2021,Jun,882,6/1/2021,5.9
2021,Jul,883,7/1/2021,5.4
2021,Aug,884,8/1/2021,5.2
2021,Sep,885,9/1/2021,4.8
2021,Oct,886,10/1/2021,4.5
2021,Nov,887,11/1/2021,4.2
2021,Dec,888,12/1/2021,3.9
2022,Jan,889,1/1/2022,4
2022,Feb,890,2/1/2022,3.8
2022,Mar,891,3/1/2022,3.6
2022,Apr,892,4/1/2022,3.6
2022,May,893,5/1/2022,3.6
2022,Jun,894,6/1/2022,3.6
2022,Jul,895,7/1/2022,3.5
2022,Aug,896,8/1/2022,3.7
2022,Sep,897,9/1/2022,3.5
2022,Oct,898,10/1/2022,3.7
2022,Nov,899,11/1/2022,3.6
2022,Dec,900,12/1/2022,3.5
